pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
121,641793,"Littell, Zack",2486,4.9,0.752,0.207,0.752,0.959,0.74,0.68,0.668,91,121,95.1,16,1802,87.4,87.2,0,121,0,-0.2,6.23,110,149,118,150,297,331,300,-37.1,37.1,71.64853478,7.329705752
120,605135,"Bassitt, Chris",2959,4.1,0.731,0.151,0.725,0.882,0.695,0.67,0.667,87,119,93.1,17.4,2111,87.3,87.42,0,120,0,0.1,6.44,112,148,116,149,287,318,295,-41.2,41.2,71.90938714,7.069583661
120,605400,"Nola, Aaron",3189,3.8,0.756,0.235,0.75,0.992,0.748,0.678,0.668,90,119,95.3,16.5,2297,86,86.93,0,120,0,0.9,6.9,111,148,117,149,294,325,296,-41.9,41.9,71.91988826,7.333084404
117,663623,"Irvin, Jake",3046,3.8,0.684,0.274,0.684,0.957,0.704,0.653,0.63,80,117,95.4,16.9,2402,89.8,91.05,0,117,0,1.3,6.95,111,147,120,148,301,325,298,-41.2,41.2,72.845775,7.1283842
116,592332,"Gausman, Kevin",2958,3.9,0.655,0.25,0.655,0.905,0.671,0.658,0.638,76,116,95.5,16.9,2122,90.9,91.23,0,116,0,0.3,6.62,114,147,117,148,291,319,296,-36.3,36.3,71.60468311,7.284594272
115,650644,"Civale, Aaron",2699,4.3,0.646,0.159,0.635,0.805,0.618,0.646,0.643,73,113,95,16.4,2620,86.9,85.88,0,115,0,-1,5.66,107,150,122,148,301,326,297,-24.1,24.1,71.40980408,7.186900874
115,571760,"Heaney, Andrew",2731,4.2,0.667,0.158,0.661,0.825,0.641,0.645,0.631,76,114,95.2,16.9,2358,86.7,86.67,0,115,0,0,6.43,108,150,118,147,301,325,296,-29.6,29.6,72.60850422,7.314204216
112,669302,"Gilbert, Logan",3042,3.7,0.598,0.223,0.598,0.821,0.611,0.594,0.58,67,112,95.7,17.2,1970,91.5,93.68,0,112,0,2.2,7.58,113,150,117,149,291,318,290,-22.7,22.7,71.2935315,7.1729393
111,641154,"López, Pablo",2986,3.7,0.725,0.156,0.712,0.881,0.685,0.66,0.651,79,109,91.7,17.4,2221,91,92.49,0,111,0,1.5,7.13,110,147,116,149,294,322,295,-34.8,34.8,70.94067689,7.045206602
109,615698,"Quantrill, Cal",2643,4.1,0.682,0.252,0.67,0.935,0.681,0.643,0.64,73,107,95.6,16.4,1887,89,89.66,0,109,0,0.7,6.47,114,148,123,149,303,329,304,-30.4,30.4,71.06452945,7.098682198
109,694297,"Pfaadt, Brandon",2793,3.9,0.75,0.213,0.743,0.963,0.734,0.662,0.671,81,108,91.9,17.3,2540,90.1,90.88,0,109,0,0.8,6.7,112,149,115,149,298,318,295,-41.7,41.7,71.7779854,7.0853695
109,542881,"Anderson, Tyler",2914,3.7,0.682,0.196,0.67,0.879,0.662,0.649,0.652,73,107,93,17.2,2075,84.5,84.11,0,109,0,-0.4,6.07,106,150,117,148,306,326,296,-30.9,30.9,72.27399686,7.36763
108,607067,"Rea, Colin",2650,4.1,0.729,0.178,0.722,0.907,0.702,0.666,0.661,78,107,93.8,16.6,2084,88.7,89.33,0,108,0,0.6,6.61,113,149,121,147,303,321,298,-28.3,28.3,72.2308897,7.112664242
108,656557,"Houck, Tanner",2735,3.9,0.654,0.121,0.648,0.776,0.616,0.66,0.652,70,107,94.6,16.1,2207,88.7,88.25,0,108,0,-0.4,6.02,111,150,119,148,284,322,297,-28.8,28.8,70.66685357,7.078358367
